web-scraper-order,web-scraper-start-url,volume,volume-href,article-href,article_link-href,abstract,author_group,issue_date,keywords
"1551952526-836","https://www.sciencedirect.com/journal/social-networks/issues","Volume 55","https://www.sciencedirect.com/journal/social-networks/vol/55/suppl/C","The weakness of tie strength","https://www.sciencedirect.com/science/article/pii/S0378873318300194","The relationship between network structure and access to novel information has fascinated social scientists for decades, culminating in the recent identification of the bandwidth-diversity tradeoff. Yet, existing work focuses on a unidimensional conception of network ties that leaves many important sources of novel information unexplored. We unpack bandwidth, identifying three factors that govern the transmission behavior of network ties: capacity (the ability of a tie to transmit content), frequency (the average time between tie activations), and redundancy (the extent to which a tie reaches persons who are connected to each other). Empirical analyses and simulation models reveal new types of ties, as well as the conventional variety, that open promising research avenues.","Author links open overlay panelMatthew E.BrashearsaEricQuintaneb","Volume 55, October 2018, Pages 104-115","KeywordsBandwidthTie strengthSimulationEmail dataTheory"
"1551951904-640","https://www.sciencedirect.com/journal/social-networks/issues","Volume 44","https://www.sciencedirect.com/journal/social-networks/vol/44/suppl/C","Networked discontent: The anatomy of protest campaigns in social media","https://www.sciencedirect.com/science/article/pii/S0378873315000659","We analyze the communication network that emerged in social media around an international protest campaign launched in May 2012. Applying insights from network science and the theory of brokerage, we examine the cohesion of the network with community detection methods, and identify the users that spanned structural holes, creating bridges for potential information diffusion. We also analyze actual message exchange to assess how the network was used to facilitate the transmission of information. Our findings provide evidence of fragmentation in online communication dynamics, and of a distribution of brokerage opportunities that was both uneven and underexploited. We use these findings to assess recent theoretical claims about political protests in the digital age.","Author links open overlay panelSandraGonzález-BailónaNingWangb","Volume 44, January 2016, Pages 95-104","KeywordsSocial protestsOnline networksBrokerageStructural constraintModularityDigital media"
"1551951457-496","https://www.sciencedirect.com/journal/social-networks/issues","Volume 35, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/35/issue/3","How many names are enough? Identifying network effects with the least set of listed contacts","https://www.sciencedirect.com/science/article/pii/S0378873313000257","How many names are enough to reveal network effects using a name generator for network analysis? We analyze network data from two large organizations varying in complexity. We ask how much the network association with achievement is strengthened by adding another name to the recorded list of each person's sociometric citations. We conclude that five names is the cost effective number of sociometric citations to record. The network association with achievement weakens quickly with fewer names, especially in the more clustered network.","Author links open overlay panelJenniferMerluzziaRonald S.Burtb","Volume 35, Issue 3, July 2013, Pages 331-337","KeywordsName generatorsPersonal networksSurvey methodsReturns to brokerage"
"1551952014-675","https://www.sciencedirect.com/journal/social-networks/issues","Volume 46","https://www.sciencedirect.com/journal/social-networks/vol/46/suppl/C","Bayesian exponential random graph models with nodal random effects","https://www.sciencedirect.com/science/article/pii/S0378873316000034","We extend the well-known and widely used exponential random graph model (ERGM) by including nodal random effects to compensate for heterogeneity in the nodes of a network. The Bayesian framework for ERGMs proposed by Caimo and Friel (2011) yields the basis of our modelling algorithm. A central question in network models is the question of model selection and following the Bayesian paradigm we focus on estimating Bayes factors. To do so we develop an approximate but feasible calculation of the Bayes factor which allows one to pursue model selection. Three data examples and a small simulation study illustrate our mixed model approach and the corresponding model selection.","Author links open overlay panelS.ThiemichenaN.FrielbA.CaimocG.Kauermanna","Volume 46, July 2016, Pages 11-28","KeywordsExponential random graph modelsBayesian inferenceRandom effectsNetwork analysis"
"1551952496-827","https://www.sciencedirect.com/journal/social-networks/issues","Volume 54","https://www.sciencedirect.com/journal/social-networks/vol/54/suppl/C","Editorial Board","https://www.sciencedirect.com/science/article/pii/S0378873318301904","null","Author links open overlay panel","Volume 54, July 2018, Page ii","null"
"1551952435-807","https://www.sciencedirect.com/journal/social-networks/issues","Volume 54","https://www.sciencedirect.com/journal/social-networks/vol/54/suppl/C","Trading favors—Examining the temporal dynamics of reciprocity in congressional collaborations using relational event models","https://www.sciencedirect.com/science/article/pii/S0378873317300540","The norm of reciprocity shapes social interactions over time and should therefore be analyzed using longitudinal designs. This paper examines the temporal dynamics of reciprocity in the setting of legislative cosponsorship in the 113th U.S. Congress (2013–2015). Rather than aggregating cosponsoring events into network snapshots, cosponsoring events are ordered in time and reflect an event sequence of members supporting bills at distinct points in time. The norm of reciprocity is tested to see if it affects (a) new collaboration clusters emerging over time or (b) the time-to-cosponsoring. Findings suggest that receiving cosponsoring support recently, leads to future collaborations. However, this finding holds only for Republican members of Congress. Furthermore, reciprocity demands do not expedite cosponsorship support and members do not react faster to favors they received, calling mitigating effects of reciprocity on collective action into question.","Author links open overlay panelLaurenceBrandenbergerab","Volume 54, July 2018, Pages 238-253","KeywordsReciprocityDynamic networksRelational event modelTwo-mode networkCollective actionCongress"
"1551950791-284","https://www.sciencedirect.com/journal/social-networks/issues","Volume 31, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/31/issue/1","Good health and the bridging of structural holes","https://www.sciencedirect.com/science/article/pii/S0378873308000580","Bridges that span structural holes are often explained in terms of the entrepreneurial personalities or rational motivations of brokers, or structural processes that lead to the intersection of social foci. I argue that the existence and use of bridges in interpersonal networks also depends on individuals’ health. Poor health may make it more difficult to withstand the pressures and to execute some of the common tasks associated with bridging (e.g., brokerage). I examine this possibility using egocentric network data on over 2500 older adults drawn from the recent National Social Life, Health, and Aging Project (NSHAP). Multivariate regression analyses show that both cognitive and functional health are significantly positively associated with bridging, net of sociodemographic and life-course controls. The relationship between functional (kinesthetic) health and bridging appears to be partially mediated by network composition, as older adults who have poorer functional health also tend to have networks that are richer in strong ties. Several potential mediation mechanisms are discussed. Cognitive function remains significantly associated with bridging net of network composition, suggesting that the inherent challenges of maintaining bridging positions may be more difficult to cope with for those who have cognitive impairments than for those who have functional impairments such as limited mobility. An alternative explanation is that cognitively impaired individuals have more difficulty recognizing (and thus strategically using) bridges in their networks. Theoretical implications and possibilities for future research are discussed.","Author links open overlay panelBenjaminCornwell","Volume 31, Issue 1, January 2009, Pages 92-103","KeywordsSocial networksHealthAgingStructural holesBrokerageBridges"
"1551952568-848","https://www.sciencedirect.com/journal/social-networks/issues","Volume 56","https://www.sciencedirect.com/journal/social-networks/vol/56/suppl/C","The opacity problem in social contagion","https://www.sciencedirect.com/science/article/pii/S0378873317303465","Many social phenomena can be modeled as cascades in networks, where nodes adopt a behavior in response to peers adopting. When studying cascades, researchers typically assume that the number of active peers when a node adopts is equivalent to the node's threshold for adoption. This assumption is rarely justified due to the “opacity problem”: networked cascades reveal intervals which contain thresholds, rather than point estimates. Existing approaches take the maximum of each node's threshold interval, which biases models of social influence. Opacity is inevitable in many small graphs when using the threshold model, resulting from the networked process itself rather than data collection techniques. Using simulation, we extend this finding to the probabilistic SI (independent cascade) model. We confirm these theoretical results by studying 50 large hashtag cascades among 3.2 million Twitter users, finding that 20% of adoptions suffer from opacity. Different assumptions in response to opacity qualitatively change conclusions about peer influence. While opacity is a far-reaching problem, it can be addressed. Using information from nodes who have tightly bounded intervals allows building models to reduce error in estimating node thresholds.","Author links open overlay panelGeorgeBerryaChristopher J.CameronaPatrickParkbMichaelMacya","Volume 56, January 2019, Pages 93-101","KeywordsSocial contagionSocial influencePeer effectsMeasurement"
"1551951231-421","https://www.sciencedirect.com/journal/social-networks/issues","Volume 34, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/34/issue/3","Visualization methods for longitudinal social networks and stochastic actor-oriented modeling","https://www.sciencedirect.com/science/article/pii/S0378873311000347","As a consequence of the rising interest in longitudinal social networks and their analysis, there is also an increasing demand for tools to visualize them. We argue that similar adaptations of state-of-the-art graph-drawing methods can be used to visualize both, longitudinal networks and predictions of stochastic actor-oriented models (SAOMs), the most prominent approach for analyzing such networks. The proposed methods are illustrated on a longitudinal network of acquaintanceship among university freshmen.","Author links open overlay panelUlrikBrandesNatalieIndlekoferMartinMader","Volume 34, Issue 3, July 2012, Pages 291-308","KeywordsLongitudinal social networksDynamic network visualizationStochastic actor-oriented modelsModel fit"
"1551950648-242","https://www.sciencedirect.com/journal/social-networks/issues","Volume 29, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/29/issue/4","Equicentrality and network centralization: A micro–macro linkage","https://www.sciencedirect.com/science/article/pii/S0378873307000561","This paper investigates a linkage between micro- and macrostructures as an intrinsic property of social networks. In particular, it examines the linkage between equicentrality [Kang, S.M., 2007. A note on measures of similarity based on centrality. Social Networks 29, 137–142] as a conceptualization of a microstructural process (i.e., the likelihood of social actors to be connected with similarly central others) and network centralization as a macrostructural construct, and shows that they have a negative linear association. In other words, when actors are connected with similarly central alters (i.e., high equicentrality), the overall network centralization is low. Conversely, when highly central actors are connected with low-centrality actors (i.e., low equicentrality), the overall network centralization is high. The relationship between degree equicentrality and degree centralization is more significant in observed networks, especially those evolving over time, as compared to random networks. An application of this property is given by venture capital co-investment networks.","Author links open overlay panelSoong MoonKang","Volume 29, Issue 4, October 2007, Pages 585-601","KeywordsEquicentralityNetwork centralizationDegree centralityMicro–macro linkage"
"1551950306-142","https://www.sciencedirect.com/journal/social-networks/issues","Volume 27, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/27/issue/1","A measure of betweenness centrality based on random walks","https://www.sciencedirect.com/science/article/pii/S0378873304000681","Betweenness is a measure of the centrality of a node in a network, and is normally calculated as the fraction of shortest paths between node pairs that pass through the node of interest. Betweenness is, in some sense, a measure of the influence a node has over the spread of information through the network. By counting only shortest paths, however, the conventional definition implicitly assumes that information spreads only along those shortest paths. Here, we propose a betweenness measure that relaxes this assumption, including contributions from essentially all paths between nodes, not just the shortest, although it still gives more weight to short paths. The measure is based on random walks, counting how often a node is traversed by a random walk between two other nodes. We show how our measure can be calculated using matrix methods, and give some examples of its application to particular networks.","Author links open overlay panelM.E. J.Newman","Volume 27, Issue 1, January 2005, Pages 39-54","KeywordsCentralityBetweennessRandom walksCurrent flow"
"1551951186-407","https://www.sciencedirect.com/journal/social-networks/issues","Volume 34, Issue 2","https://www.sciencedirect.com/journal/social-networks/vol/34/issue/2","Revisiting clientelism: A network analysis of problem-solving networks in Argentina","https://www.sciencedirect.com/science/article/pii/S0378873311000852","Clientelism is a problem-solving network where brokers solve voter problems by providing material and non-material resources in exchange of political support.","Author links open overlay panelMarielaSzwarcberg","Volume 34, Issue 2, May 2012, Pages 230-240","KeywordsPolitical networksClientelismLatin AmericaArgentinaPovertyBuenos AiresEthnography"
"1551952406-798","https://www.sciencedirect.com/journal/social-networks/issues","Volume 54","https://www.sciencedirect.com/journal/social-networks/vol/54/suppl/C","Erratum to “Revisiting asymmetric marriage rules” [Soc. Netw. 52 (2017) 261–269]","https://www.sciencedirect.com/science/article/pii/S0378873317304793","null","Author links open overlay panelPhilippeRamirezaStéphaneLegendreb","Volume 54, July 2018, Page 338","null"
"1551951498-509","https://www.sciencedirect.com/journal/social-networks/issues","Volume 35, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/35/issue/4","Mixed integer programming formulations for clustering problems related to structural balance","https://www.sciencedirect.com/science/article/pii/S0378873313000774","In this work, we study graph clustering problems associated with structural balance. One of these problems is known in computer science literature as the correlation-clustering (CC) problem and another (RCC) can be viewed as its relaxed version. The solution of CC and RCC problems has been previously used in the literature as tools for the evaluation of structural balance in a social network. Our aim is to solve these problems to optimality. We describe integer linear programming formulations for these problems which includes the first mathematical formulation for the RCC problem. We also discuss alternative models for the relaxed structural balance and the solution of clustering problems associated with these new models. Numerical experiments are carried out with each formulation on a set of benchmark instances available in the literature.","Author links open overlay panelRosaFigueiredoaGiseleMourab","Volume 35, Issue 4, October 2013, Pages 639-651","KeywordsStructural balanceSigned graphGraph partitionInteger programmingSocial network"
"1551951489-506","https://www.sciencedirect.com/journal/social-networks/issues","Volume 35, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/35/issue/4","Investing in people: The role of social networks in the diffusion of a large-scale fraud","https://www.sciencedirect.com/science/article/pii/S0378873313000567","This paper draws from social network analysis and diffusion theory to study the case of a mortgage fraud that spread undetected for five years in British Columbia, Canada. The fraud is studied from the point of view of 559 victims who unknowingly invested in the Ponzi scheme which defrauded 2285 investors for a total of $ 240 million dollars. Results show diffusion played a role in the success of the Eron fraud even though the fraud ended before it reached the final stages of a classic diffusion process. A closer look at the social structure of the Eron network revealed the elements that made the fraud successful: (1) change agents, particularly Eron principals and Eron employees invested their personal time and effort recruiting investors; (2) independent brokers actively spread the fraud to their clients; and (3) opinion leaders, investors themselves, unknowingly spread the fraud through their social networks by recruiting their friends and family to invest in Eron.","Author links open overlay panelRebeccaNashaMartinBouchardaAiliMalmb","Volume 35, Issue 4, October 2013, Pages 686-698","KeywordsDiffusion theoryFraudPonzi schemeOpinion leadersChange agentsVictims"
"1551950499-196","https://www.sciencedirect.com/journal/social-networks/issues","Volume 28, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/28/issue/4","Persistence of close personal ties over a 12-year period","https://www.sciencedirect.com/science/article/pii/S0378873305000559","Using data on 60 intentional communities from the Urban Communes Data Set, we examine factors related to the persistence of ties 12 years later, when nearly all members had left the groups. We find strong evidence of triadic effects—people are more likely to remain in contact with others when they share patterns of contact with third parties. Such triadic effects retain importance even when we use alternative measures of contact, and when we control for individual-, dyadic-, and group-level effects including geographic separation. When we examine friendship as opposed to contact, we find that the triadic effects can be decomposed into some effects pertaining to hierarchy and other effects pertaining to reciprocation, giving us a sense of how networks structure themselves over time.","Author links open overlay panelJohn LeviMartinaKing-ToYeungb","Volume 28, Issue 4, October 2006, Pages 331-362","KeywordsTie persistenceTie decaySocial networksLongitudinal analyses"
"1551952136-714","https://www.sciencedirect.com/journal/social-networks/issues","Volume 48","https://www.sciencedirect.com/journal/social-networks/vol/48/suppl/C","GENSI: A new graphical tool to collect ego-centered network data","https://www.sciencedirect.com/science/article/pii/S0378873316300284","This study (1) tested the effectiveness of a new survey tool to collect ego-centered network data and (2) assessed the impact of giving people feedback about their network on subsequent responses. The new tool, GENSI (Graphical Ego-centered Network Survey Interface), allows respondents to describe all network contacts at once via a graphical representation of their networks. In an online experiment, 434 American adults were randomly assigned to answer traditional network questions or GENSI and were randomly assigned to receive feedback about their network or not. The traditional questionnaire and GENSI took the same amount of time to complete, and measurements of racial composition of the network showed equivalent convergent validity in both survey tools. However, the new tool appears to solve what past researchers have considered to be a problem with online administration: exaggerated numbers of network connections. Moreover, respondents reported enjoying GENSI more than the traditional tool. Thus, using a graphical interface to collect ego-centered network data seems to be promising. However, telling respondents how their network compared to the average Americans reduced the convergent validity of measures administered after the feedback was provided, suggesting that such feedback should be avoided.","Author links open overlay panelTobias H.StarkaJon A.Krosnickb","Volume 48, January 2017, Pages 36-45","KeywordsEgo-centered networksSoftwareData collectionGraphical interfaceOnline surveys"
"1551951253-428","https://www.sciencedirect.com/journal/social-networks/issues","Volume 34, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/34/issue/4","Do resources of network members help in help seeking? Social capital and health information search","https://www.sciencedirect.com/science/article/pii/S0378873312000482","Does social capital as resources of network members affect health information search? Analyzing data from the 2004 General Social Survey in the United States, this study measures two social capital indicators (average education of network members and proportion of network members with a high school degree or higher) using the name generator. Most results are consistent using those two indicators. Both indicators are positively associated with frequency of health information seeking and seekers’ frequency of use of two sources (friends or relatives and the Internet). Also average education of network members is positively associated with seekers’ diversity of used sources and frequency of consultation with medical professionals. But neither indicator is associated with seekers’ frequency of use of other four sources (health-related magazines or newsletters, general magazines, daily newspapers, and radio or television programs). The findings demonstrate the theoretical utility of social capital in the social dynamics of medical help-seeking.","Author links open overlay panelLijunSongaTian-YunChangb","Volume 34, Issue 4, October 2012, Pages 658-669","KeywordsNetwork members’ resourcesSocial capitalHealth information search"
"1551950955-334","https://www.sciencedirect.com/journal/social-networks/issues","Volume 32, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/32/issue/3","A puzzle concerning triads in social networks: Graph constraints and the triad census","https://www.sciencedirect.com/science/article/pii/S0378873310000158","Evidence from many sources shows that triadic tendencies are important structural features of social networks (e.g. transitivity or triadic closure) and triadic configurations are the basis for both theoretical claims and substantive outcomes (e.g. strength of weak ties, tie stability, or trust). A contrasting line of research demonstrates that triads in empirical social networks are well predicted by lower order graph features (density and dyads), accounting for around 90% of the variability in triad distributions when comparing different social networks (Faust, 2006, 2007, 2008). These two sets of results present a puzzle: how can substantial triadic tendencies occur when triads in empirical social networks are largely explained by lower order graph features? This paper provides insight into the puzzle by considering constraints that lower order graph features place on the triad census. Taking a comparative perspective, it shows that triad censuses from 159 social networks of diverse species and social relations are largely explained by their lower order graph features (the dyad census) through formal constraints that force triads to occur in narrow range of configurations. Nevertheless, within these constraints, a majority of networks exhibit significant triadic patterning by departing from expectation.","Author links open overlay panelKatherineFaust","Volume 32, Issue 3, July 2010, Pages 221-233","KeywordsTriadsTriad censusDyad censusGraph constraintsSocial network"
"1551951011-352","https://www.sciencedirect.com/journal/social-networks/issues","Volume 33, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/33/issue/1","List of Reviewers","https://www.sciencedirect.com/science/article/pii/S0378873311000025","null","Author links open overlay panel","Volume 33, Issue 1, January 2011, Pages 98-99","null"
"1551951343-458","https://www.sciencedirect.com/journal/social-networks/issues","Volume 35, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/35/issue/1","Types of stable network structures based on exhaustive search","https://www.sciencedirect.com/science/article/pii/S0378873313000075","Based on the works of Doreian [Doreian, P., 2006. Actor network utilities and network evolution. Social Networks 28, 137–164] and Xie and Cui [Xie, F., Cui, W., 2008b. A note on the paper ‘cost range and the stable network structures’. Social Networks 30, 102–103], the paper applies exhaustive search and inductive approaches to analyze possible transitions among isomeric social networks with five vertices. A total of seven types of stable network structures are identified, which include the complete, star, chain, cycle, near-chain, near-cycle and null graphs. Then, a modified theorem for the equilibrium forms which corrects the previous work is presented.","Author links open overlay panelDehaiLiuaJingHuangaHongyiLibWeiguoWanga","Volume 35, Issue 1, January 2013, Pages 124-129","KeywordsStable social networkNetwork evolutionEfficiencyConnections modelExhaustive search"
"1551951063-368","https://www.sciencedirect.com/journal/social-networks/issues","Volume 33, Issue 2","https://www.sciencedirect.com/journal/social-networks/vol/33/issue/2","Investigating an online social network using spatial interaction models","https://www.sciencedirect.com/science/article/pii/S0378873310000584","Using a spatial interaction modeling approach, we investigate the German collegiate social network site StudiVZ. We focus on identifying factors that foster strong inter-institutional linkages, testing whether the acquaintanceship rate between institutions of higher education is related to various geographic and institutional attributes. We find that acquaintanceship is most significantly related to geographic separation: measuring distance with automobile travel time, acquaintanceship drops by 91% for each additional 100 min. Institution type and the former East–West German divide are also related to this rate with statistical significance.","Author links open overlay panelConradLeeaThomasScherngellbMichael J.Barberb","Volume 33, Issue 2, May 2011, Pages 129-133","KeywordsOnline social networksSpatial interaction modelingGeneralized linear modelsSeparation measuresStudiVZ"
"1551952107-704","https://www.sciencedirect.com/journal/social-networks/issues","Volume 48","https://www.sciencedirect.com/journal/social-networks/vol/48/suppl/C","A mixed membership model-based measure for subgroup integration in social networks","https://www.sciencedirect.com/science/article/pii/S0378873316303173","Social networks analysis often involves quantifying subgroup structure in which tie density is greater among nodes in the same subgroup than between subgroups. One such measure, subgroup insularity or segregation, is the extent that subgroups are separate from each other. We introduce a new measure, γ, which is a parameter from the mixed membership stochastic blockmodel (MMSBM; Airoldi et al., 2008), and differs from many existing measures in that γ does not depend on node membership. We compare this measure to several well-known measures and use simulation studies and real data analysis to provide insight into how this measure can be used in practice.","Author links open overlay panelTracy M.Sweet1QiwenZheng","Volume 48, January 2017, Pages 169-180","KeywordsSubgroupSegregationBayesianMixed membershipBlockmodel"
"1551952118-708","https://www.sciencedirect.com/journal/social-networks/issues","Volume 48","https://www.sciencedirect.com/journal/social-networks/vol/48/suppl/C","Communities in criminal networks: A case study","https://www.sciencedirect.com/science/article/pii/S0378873316300363","Criminal organizations tend to be clustered to reduce risks of detection and information leaks. Yet, the literature exploring the relevance of subgroups for their internal structure is so far very limited. The paper applies methods of community analysis to explore the structure of a criminal network representing the individuals’ co-participation in meetings. It draws from a case study on a large law enforcement operation (“Operazione Infinito”) tackling the ‘Ndrangheta, a mafia organization from Calabria, a southern Italian region. The results show that the network is indeed clustered and that communities are associated, in a non-trivial way, with the internal organization of the ‘Ndrangheta into different “locali” (similar to mafia families). Furthermore, the results of community analysis can improve the prediction of the “locale” membership of the criminals (up to two thirds of any random sample of nodes) and the leadership roles (above 90% precision in classifying nodes as either bosses or non-bosses). The implications of these findings on the interpretation of the structure and functioning of the criminal network are discussed.","Author links open overlay panelFrancescoCalderoniaDomenicoBrunettobCarloPiccardic","Volume 48, January 2017, Pages 116-125","KeywordsCriminal networksDark networksCommunity analysisCentrality measuresLeadership identificationMembership identification"
"1551949922-48","https://www.sciencedirect.com/journal/social-networks/issues","Volume 23, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/23/issue/1","Network models for social selection processes","https://www.sciencedirect.com/science/article/pii/S0378873301000296","We present network models for social selection processes, based on the p∗ class of models. Social selection occurs when individuals form social relationships on the basis of certain characteristics they possess. Similarity is a common hypothesis for selection processes, but one that is usually framed dyadically. Structural balance approaches move beyond dyadic conceptualizations and require more sophisticated modeling. The two-block chain graph approach of p∗ social influence models is adapted to allow individual attribute variables to be predictors of network ties. Using a range of dependence assumptions, we present a hierarchy of increasingly complex selection models, including models for continuous attribute measures, which in their simplest form may be assumed to be linear. The models have scope, however, for more complex functional formulations so that more specific hypotheses may be investigated by postulating a particular functional form. Our empirical examples illustrate how dyadic selection may be transmuted into structural effects, and how the absence of dyadic selection may still mask a subtle higher order selection effect as individuals “position” themselves within a wider social environment. In conclusion, we discuss the links between social influence and social selection models.","Author links open overlay panelGarryRobinsaPeterElliottbPhilippaPattisona","Volume 23, Issue 1, January 2001, Pages 1-30","KeywordsNetwork modelsSocial selection processesAttributes"
"1551952240-746","https://www.sciencedirect.com/journal/social-networks/issues","Volume 51","https://www.sciencedirect.com/journal/social-networks/vol/51/suppl/C","The independent’s edge in an illegal drug distribution setting: Levitt and Venkatesh revisited","https://www.sciencedirect.com/science/article/pii/S0378873316302520","Popular imagery and scholarly research have differed significantly in their perceptions and understanding of the structure and scope of organized crime and gang settings. While the common image is that of the corporate-like or formal criminal organization, past research has been more likely to argue and demonstrate in favour of market and network flexibility. In this study, we pursue this latter line of inquiry by demonstrating the market and network features that shape illegal drug distribution settings. In doing so, we rely on the Quebec Hells Angels accounting books for a one-year period, which brings us within the same empirical domain as Levitt and Venkatesh’s (2000) study of the Black Knights in 1990s Chicago. Our study sways from the main premise that oriented the Black Knight’s case study—namely that performance within the illegal drug distribution structure was directly tied to that organization’s rigid hierarchical structure. While the Hells Angels can be analyzed as a corporation, this does not mean that Hells Angels members are, by definition, at an advantage because of their organizational status in the illegal drug distribution setting in which some members are active. What our findings indicate is that a participant’s ability to adapt to market dynamics and take on a core network position within an illegal drug market (cocaine, in this study) matter most. Overall, we demonstrate that: 1) Quebec’s cocaine market was structured primarily around traditional market forces; 2) the transaction network around the Hells Angels was not centralized around a single person or small group of people; 3) Hells Angels members were not the most active participants; and 4) being a Hells Angels member did not increase one’s volume of transactions within the network—quite differently, core network positioning did.","Author links open overlay panelCarloMorselliMasarahPaquet-CloustonChloéProvost","Volume 51, October 2017, Pages 118-126","KeywordsIllegal drugsIllegal marketsSocial network analysisCore-periphery networkPrice elasticity"
"1551952537-840","https://www.sciencedirect.com/journal/social-networks/issues","Volume 55","https://www.sciencedirect.com/journal/social-networks/vol/55/suppl/C","Measuring knowledge and experience in two mode temporal networks","https://www.sciencedirect.com/science/article/pii/S0378873317303015","Two mode social network data consisting of actors attending events is a common type of social network data. For these kinds of data it is also common to have additional information about the timing or sequence of the events. We call data of this type two-mode temporal data. We explore the idea that actors attending events gain information from the event in two ways. Firstly the event itself may provide information or training; secondly, as co-attendees interact, they may pass on skills or information they have gleaned from other events. We propose a method of measuring these gains and demonstrate its usefulness using the classic Southern Women Data and a covert network dataset.","Author links open overlay panelMartin G.EverettaChiaraBroccatellibStephen P.BorgatticJohanKoskinena","Volume 55, October 2018, Pages 63-73","KeywordsTwo-mode networksTemporal networksKnowledgeExperienceCovert networks"
"1551951739-587","https://www.sciencedirect.com/journal/social-networks/issues","Volume 41","https://www.sciencedirect.com/journal/social-networks/vol/41/suppl/C","The microstructures of network recall: How social networks are encoded and represented in human memory","https://www.sciencedirect.com/science/article/pii/S0378873314000616","A growing number of studies indicate that aspects of psychology and cognition influence network structure, but much remains to be learned about how network information is stored and retrieved from memory. Are networks recalled as dyads, as triads, or more generally as sub-groups? We employ an experimental design coupled with exponential random graph models to address this issue. We find that respondents flexibly encode social information as triads or groups, depending on the network, but not as dyads. This supports prior research showing that networks are stored using “compression heuristics”, but also provides evidence of cognitive flexibility in the process of encoding relational information.","Author links open overlay panelMatthew E.BrashearsaEricQuintaneb","Volume 41, May 2015, Pages 113-126","KeywordsMemoryCognitionExperimentSocial brain hypothesisERGM"
"1551951742-588","https://www.sciencedirect.com/journal/social-networks/issues","Volume 41","https://www.sciencedirect.com/journal/social-networks/vol/41/suppl/C","Check the phone book: Testing information and communication technology (ICT) recall aids for personal network surveys","https://www.sciencedirect.com/science/article/pii/S0378873314000744","This study tested two recall aids for the name generator procedure via a randomized web experiment with 447 college students, eliciting their personal networks. Compared to participants solely presented with the name generator, participants being prompted and probed to consult records saved in their communication devices provided more comprehensive network data and more weak ties. Furthermore, these data were garnered without either a substantial increase in item nonresponse or a decrease in completion time for subsequent name interpreters. Thus, ICT recall aids are deemed cost-effective and context-neutral techniques to improve the recall accuracy of data collected by the name generator.","Author links open overlay panelYuli PatrickHsieh","Volume 41, May 2015, Pages 101-112","KeywordsName generatorEgocentric networksMemory aidsSurvey designICT use"
"1551951716-580","https://www.sciencedirect.com/journal/social-networks/issues","Volume 40","https://www.sciencedirect.com/journal/social-networks/vol/40/suppl/C","The effects of specific occupations in position generator measures of social capital","https://www.sciencedirect.com/science/article/pii/S0378873314000355","The position generator is a widespread method for measuring latent social capital in which respondents are queried about contacts on a list of occupations predefined by the analyst. We separate out the unique contribution of each occupation to aggregated measures of social capital. It turns out that this contribution varies vastly: knowing a person in some occupations provides substance to measures of social capital, while knowing a person in a few occupations is irrelevant and contributes statistical noise and causes attenuation bias. We discuss the implication of our findings for the design of position generator measures generally.","Author links open overlay panelMartinHällstenaChristoferEdlingbJensRydgrena","Volume 40, January 2015, Pages 55-63","KeywordsPosition generatorJack-knifeSocial capitalMeasurement error"
"1551951446-492","https://www.sciencedirect.com/journal/social-networks/issues","Volume 35, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/35/issue/3","The use of different data sources in the analysis of co-authorship networks and scientific performance","https://www.sciencedirect.com/science/article/pii/S0378873313000403","Scientific collaboration is usually derived from archival co-authorship data. Several data sources may be examined, but they all have advantages and disadvantages, especially when a specific discipline or community is of interest. The aim of this paper is to explore the effect of the use of three data sources – Web of Science, Current Index to Statistics and nationally funded research projects – on the analysis of co-authorship networks among Italian academic statisticians. Results provide evidence of our hypotheses on distinct collaboration patterns among statisticians, as well as distinct effects of scientist network positions on scientific performance, by both Statistics subfield and data source.","Author links open overlay panelDomenicoDe StefanoaVittorioFuccellabMaria ProsperinaVitalecSusannaZaccarina","Volume 35, Issue 3, July 2013, Pages 370-381","KeywordsBibliometric databasesCo-authorship dataNetwork topologyScientific performanceh-IndexGEV model"
"1551952181-728","https://www.sciencedirect.com/journal/social-networks/issues","Volume 49","https://www.sciencedirect.com/journal/social-networks/vol/49/suppl/C","Editorial Board / Publication Information","https://www.sciencedirect.com/science/article/pii/S037887331730045X","null","Author links open overlay panel","Volume 49, May 2017, Page IFC","null"
