"","word1","word2","n"
"1200","communities","institutions",1
"1201","communities","urban",1
"1202","communities","virtual",1
"1203","community","activities",1
"1204","community","organisations",1
"1205","community","spends",1
"1206","community's","existence",1
"1207","community's","foundations",1
"1208","community's","role",1
"1209","companies","involved",1
"1210","comparing","european",1
"1211","comparisons","importantly",1
"1212","compatibility","developing",1
"1213","competition","cric",1
"1214","competitive","global",1
"1215","competitive","intelligence",1
"1216","competitive","weapons",1
"1217","competitiveness","analysis",1
"1218","competitiveness","larger",1
"1219","competitiveness","logical",1
"1220","competitiveness","product",1
"1221","compilation","interpretation",1
"1222","complementary","additional",1
"1223","complementary","initiative",1
"1224","complementary","routes",1
"1225","complete","collapse",1
"1226","complete","study",1
"1227","complex","adaptive",1
"1228","complex","environment",1
"1229","complex","organisational",1
"1230","complex","political",1
"1231","complex","reality",1
"1232","complex","results",1
"1233","complex","societies",1
"1234","complex","structure",1
"1235","complex","system",1
"1236","complex","systems",1
"1237","complex","tomorrow’s",1
"1238","complexity","earth",1
"1239","complexity","heightened",1
"1240","comprehending","genetic",1
"1241","comprehensive","metadata",1
"1242","computer","based",1
"1243","computerized","technologies",1
"1244","concept","exploratory",1
"1245","conceptual","study",1
"1246","conceptual","technical",1
"1247","concern","increasingly",1
"1248","concerned","staff",1
"1249","concerns","profits",1
"1250","concerns","related",1
"1251","concerns","technological",1
"1252","concerted","action",1
"1253","concrete","measures",1
"1254","concurrency","integrating",1
"1255","condition","development",1
"1256","conduct","foresight",1
"1257","conducted","partly",1
"1258","conference","bae",1
"1259","conference","collection",1
"1260","conference","marriot",1
"1261","conference","networking",1
"1262","conference","received",1
"1263","confident","north",1
"1264","conflict","due",1
"1265","conflict","peacekeeping",1
"1266","conflict","resolution",1
"1267","confronts","simmel’s",1
"1268","congenial","milieu",1
"1269","conjecture","lies",1
"1270","conjoint","approach",1
"1271","consensus","enabling",1
"1272","consensus","intellectual",1
"1273","consensus","set",1
"1274","conservatives","liberals",1
"1275","considerable","assets",1
"1276","considerable","role",1
"1277","consideration","social",1
"1278","considerations","regulation",1
"1279","considerations","specific",1
"1280","considers","branding",1
"1281","considers","historical",1
"1282","considers","impacts",1
"1283","consistent","human",1
"1284","consistent","scenarios",1
"1285","constitutional","future",1
"1286","constitutional","reform",1
"1287","constructed","temporal",1
"1288","construction","space",1
"1289","constructive","role",1
"1290","constructive","suggestions",1
"1291","consultancy","forum",1
"1292","consultancy","helsinki",1
"1293","consultants","finally",1
"1294","consultation","process",1
"1295","consulting","project",1
"1296","consulting","uk",1
"1297","consumer","choice",1
"1298","consumer","confidence",1
"1299","consumer","delight",1
"1300","consumer","demands",1
"1301","consumer","economy",1
"1302","consumer","markets",1
"1303","consumer","protection",1
"1304","consumer","rights",1
"1305","consumers","await",1
"1306","consumers","concerns",1
"1307","consumers","create",1
"1308","consumers","play",1
"1309","consumption","paradoxically",1
"1310","contact","ms",1
"1311","contemporary","society",1
"1312","contemporary","task",1
"1313","contemporary","thinking",1
"1314","context","introduces",1
"1315","context","surrounding",1
"1316","continued","importance",1
"1317","continued","productivity",1
"1318","continued","social",1
"1319","continuing","achievements",1
"1320","continuing","flight",1
"1321","continuing","series",1
"1322","continuing","threats",1
"1323","continuous","development",1
"1324","continuous","growth",1
"1325","continuous","innovation",1
"1326","continuous","process",1
"1327","continuously","adapting",1
"1328","contract","coordinator",1
"1329","contracts","social",1
"1330","contradictions","affecting",1
"1331","contradictory","trend",1
"1332","contrasting","futures",1
"1333","contrasting","scenarios",1
"1334","contributed","equally",1
"1335","contributed","significantly",1
"1336","contributions","published",1
"1337","control","explores",1
"1338","control","pac",1
"1339","control","safer",1
"1340","control","system",1
"1341","controversial","idea",1
"1342","conventional","process",1
"1343","conventional","trends",1
"1344","conventional","view",1
"1345","conventional","wisdom",1
"1346","convergence","programme",1
"1347","conversation","organizations",1
"1348","convincingly","portrayed",1
"1349","conway","dennis",1
"1350","cooperation","decision",1
"1351","cooperation","effective",1
"1352","cooperation","finland",1
"1353","cooperation","shared",1
"1354","cooperation","strength",1
"1355","cooperative","bond",1
"1356","coordination","secretariat",1
"1357","coordinator","equal",1
"1358","coordinator","ffrc",1
"1359","coordinator","juha",1
"1360","copyrighted","republication",1
"1361","corporate","agenda",1
"1362","corporate","corruption",1
"1363","corporate","decision",1
"1364","corporate","governance",1
"1365","corporate","lack",1
"1366","corporate","operations",1
"1367","corporate","policies",1
"1368","corporate","policy",1
"1369","corporate","productivity",1
"1370","corporate","programs",1
"1371","corporate","secrecy",1
"1372","corporate","training",1
"1373","corporations","grounded",1
"1374","correlation","analyses",1
"1375","corruption","measures",1
"1376","corvinus","university",1
"1377","cost","availability",1
"1378","cost","electronic",1
"1379","cost","products",1
"1380","council","esrc",1
"1381","counter","scenario",1
"1382","countries","authors",1
"1383","countries","join",1
"1384","countries","lack",1
"1385","countries","petroleum",1
"1386","country","means",1
"1387","country","taking",1
"1388","county","council",1
"1389","covered","genomic",1
"1390","covering","information",1
"1391","covering","political",1
"1392","cramped","empiricist",1
"1393","create","personal",1
"1394","created","conditions",1
"1395","creating","capacity",1
"1396","creating","enterprises",1
"1397","creating","job",1
"1398","creating","major",1
"1399","creation","challenges",1
"1400","creation","process",1
"1401","creation","processes",1
"1402","creation","technique",1
"1403","creative","dislocation",1
"1404","creative","methods",1
"1405","creative","minorities",1
"1406","creative","team",1
"1407","credible","method",1
"1408","credible","profession",1
"1409","cripps","leonard",1
"1410","crisis","era",1
"1411","critical","analysis",1
"1412","critical","dimension",1
"1413","critical","framework",1
"1414","critical","infrastructure",1
"1415","critical","parameters",1
"1416","critical","perspective",1
"1417","critical","technologies",1
"1418","critical","uncertainties",1
"1419","critically","enabling",1
"1420","critically","reviews",1
"1421","criticised","gdp",1
"1422","crops","europe’s",1
"1423","cross","impact",1
"1424","cross","referencing",1
"1425","crucial","role",1
"1426","crucial","values",1
"1427","cultural","barriers",1
"1428","cultural","change",1
"1429","cultural","critical",1
"1430","cultural","dimension",1
"1431","cultural","divide",1
"1432","cultural","economic",1
"1433","cultural","factors",1
"1434","cultural","foundation",1
"1435","cultural","future",1
"1436","cultural","myths",1
"1437","cultural","transformation",1
"1438","culture","colours",1
"1439","culture","grant",1
"1440","culture","historical",1
"1441","culture","management",1
"1442","cultures","affect",1
"1443","cure","disease",1
"1444","current","choices",1
"1445","current","decision",1
"1446","current","development",1
"1447","current","developments",1
"1448","current","economic",1
"1449","current","global",1
"1450","current","healthcare",1
"1451","current","inspiration",1
"1452","current","inter",1
"1453","current","military",1
"1454","current","political",1
"1455","current","practices",1
"1456","current","processes",1
"1457","current","regional",1
"1458","current","strategies",1
"1459","current","technologies",1
"1460","current","world",1
"1461","curricula","gender",1
"1462","curricular","differences",1
"1463","curriculum","designed",1
"1464","customised","digital",1
"1465","cybernetic","implants",1
"1466","cyberspace","virtual",1
"1467","cyborg","brain",1
"1468","cyborg","consciousness",1
"1469","cyborg","technologies",1
"1470","cyclical","linear",1
"1471","cynthia","barakatt",1
"1472","damaging","consumption",1
"1473","damned","phenomena",1
"1474","dampen","change",1
"1475","danske","maritime",1
"1476","dark","clouds",1
"1477","darwin","university",1
"1478","darwinian","evolution",1
"1479","data","analytics",1
"1480","data","cited",1
"1481","data","gathering",1
"1482","data","jonathan",1
"1483","data","management",1
"1484","data","ogd",1
"1485","data","processing",1
"1486","data","protection",1
"1487","dated","description",1
"1488","davis","director",1
"1489","dawn","declared",1
"1490","days","participants",1
"1491","daytime","dialogues",1
"1492","deadly","weapons",1
"1493","dear","niece",1
"1494","debate","knowledge",1
"1495","debated","issue",1
"1496","debora","spar",1
"1497","deborah","diduca",1
"1498","decade","ago",1
"1499","decades","ten",1
"1500","december","2008accepted",1
"1501","december","2009revised",1
"1502","decisive","factor",1
"1503","deep","cultural",1
"1504","deep","emotional",1
"1505","deep","gratitude",1
"1506","deep","robust",1
"1507","deep","worldwide",1
"1508","deepest","gratitude",1
"1509","deeply","grateful",1
"1510","deeply","inspiring",1
"1511","deeply","integrated",1
"1512","defence","force",1
"1513","defence","planners",1
"1514","defence","policy",1
"1515","defence","projection",1
"1516","defence","spending",1
"1517","defenceless","individuals",1
"1518","defense","industry",1
"1519","define","structural",1
"1520","defining","science",1
"1521","definitively","charted",1
"1522","defra's","horizon",1
"1523","degree","level",1
"1524","degree","reflections",1
"1525","deiaco","director",1
"1526","deliberative","polling",1
"1527","delight","behaviour",1
"1528","delightful","village",1
"1529","deliver","tangible",1
"1530","delivery","contained",1
"1531","delphi","studies",1
"1532","delphi","study",1
"1533","demand","exceptional",1
"1534","demands","global",1
"1535","democracies","inevitable",1
"1536","democracy","activities",1
"1537","democracy","founded",1
"1538","democracy","voting",1
"1539","democratic","debate",1
"1540","democratic","freedoms",1
"1541","democratic","governance",1
"1542","democratic","governments",1
"1543","democratic","liberal",1
"1544","democratic","mentality",1
"1545","democratising","technology",1
"1546","demographic","change",1
"1547","demographic","driver",1
"1548","demographic","social",1
"1549","demographics","alter",1
"1550","demonstrate","sustained",1
"1551","den","danske",1
"1552","denis","martynov",1
"1553","denmark","information",1
"1554","department","universidad",1
"1555","dependent","directions",1
"1556","deprived","neighbourhoods",1
"1557","depth","empirically",1
"1558","deputy","governor",1
"1559","der","gracht",1
"1560","deride","futures",1
"1561","deriving","real",1
"1562","des","territoires",1
"1563","desalinating","seawater",1
"1564","describes","life",1
"1565","describes","trends",1
"1566","descriptive","understanding",1
"1567","design","house",1
"1568","designed","purposes",1
"1569","designer","materials",1
"1570","designing","national",1
"1571","desigualdad","sponsored",1
"1572","desirable","future",1
"1573","desired","properties",1
"1574","destruction","wmd",1
"1575","destructive","bases",1
"1576","destructive","impact",1
"1577","det","norske",1
"1578","detailed","comments",1
"1579","determined","extraordinary",1
"1580","determined","focus",1
"1581","determining","factor",1
"1582","deterministic","views",1
"1583","deterrent","effect",1
"1584","deterring","war",1
"1585","develop","communication",1
"1586","develop","future",1
"1587","develop","quickly",1
"1588","develop","scenarios",1
"1589","developed","debora",1
"1590","developed","potential",1
"1591","developed","scenarios",1
"1592","developed","societies",1
"1593","developed","theories",1
"1594","developing","ecoliteracy",1
"1595","developing","expert",1
"1596","developing","information",1
"1597","developing","innovative",1
"1598","developing","processes",1
"1599","developing","reconfigurable",1
"1600","development","building",1
"1601","development","causal",1
"1602","development","centres",1
"1603","development","chair",1
"1604","development","critical",1
"1605","development","environmental",1
"1606","development","fund",1
"1607","development","implies",1
"1608","development","meeting",1
"1609","development","oecd",1
"1610","development","olli",1
"1611","development","optimized",1
"1612","development","partners",1
"1613","development","paths",1
"1614","development","plan",1
"1615","development","principles",1
"1616","development","projects",1
"1617","development","regional",1
"1618","development","results",1
"1619","development","scenarios",1
"1620","development","team",1
"1621","development","time",1
"1622","developments","recast",1
"1623","developments","related",1
"1624","devolving","government",1
"1625","dg","entr.disclaimer",1
"1626","dg","infso",1
"1627","dg","rtd",1
"1628","di","milano",1
"1629","diagnosis","epidemiology",1
"1630","diet","coke",1
"1631","diet","continued",1
"1632","difference","socio",1
"1633","differing","aspirations",1
"1634","differing","concepts",1
"1635","difficult","transition",1
"1636","difficult","type",1
"1637","digital","cluster",1
"1638","digital","economy’s",1
"1639","digital","landscape",1
"1640","digital","map",1
"1641","digital","services",1
"1642","digital","spatial",1
"1643","dimensional","cooperation",1
"1644","dimensional","organic",1
"1645","dimensions","impact",1
"1646","diminishing","productive",1
"1647","diminishing","technological",1
"1648","dino","borri",1
"1649","diodes","oled",1
"1650","diplomatic","protocols",1
"1651","direct","brain",1
"1652","direct","improvement",1
"1653","directed","evolution",1
"1654","directly","empower",1
"1655","directly","evolving",1
"1656","disaster","relief",1
"1657","disasters","hall",1
"1658","discipline","involved",1
"1659","discourse","analysing",1
"1660","discreetly","shelved",1
"1661","discrete","generational",1
"1662","discriminant","analysis",1
"1663","discussant","prof",1
"1664","discussed","enhancing",1
"1665","discusses","challenges",1
"1666","discusses","opportunities",1
"1667","discusses","prospects",1
"1668","discusses","recent",1
"1669","discussion","appears",1
"1670","discussion","papers",1
"1671","disdain","associating",1
"1672","disease","ridden",1
"1673","dismissed","outright",1
"1674","display","technologies",1
"1675","distant","futures",1
"1676","distant","ideas",1
"1677","distant","time",1
"1678","distinguishes","futurists",1
"1679","distributed","production",1
"1680","distribution","importantly",1
"1681","distribution","lastly",1
"1682","distribution","requires",1
"1683","diverse","fields",1
"1684","diverse","it’s",1
"1685","diverse","purposes",1
"1686","diverse","social",1
"1687","diverse","workforce",1
"1688","diversity","management",1
"1689","divisions","based",1
"1690","dnv","consulting",1
"1691","document","49",1
"1692","dollars","annually",1
"1693","domestic","environments",1
"1694","domestic","issues",1
"1695","dominant","energy",1
"1696","dominant","position",1
"1697","dominant","producers",1
"1698","dominant","role",1
"1699","dominant","share",1
"1700","dominate","jobs",1
"1701","domination","abroad",1
"1702","domination","exploitation",1
"1703","don","beck",1
"1704","doomed","planet",1
"1705","double","anchor",1
"1706","double","challenge",1
"1707","dramatic","expansion",1
"1708","dramatic","role",1
"1709","draw","arbitrary",1
"1710","draw","conclusions",1
"1711","drawing","conclusions",1
"1712","draws","distinctions",1
"1713","dream","society",1
"1714","dreams","advanced",1
"1715","drinking","water",1
"1716","drive","east",1
"1717","drive","socio",1
"1718","driven","components",1
"1719","driven","processes",1
"1720","driven","scenarios",1
"1721","drives","money",1
"1722","driving","force",1
"1723","drug","development",1
"1724","dstl","symposium",1
"1725","du","plan",1
"1726","dual","policy",1
"1727","dubbed","flatland",1
"1728","dublin","institute",1
"1729","dunn","hannu",1
"1730","dust","settles",1
"1731","dutch","newspapers",1
"1732","dynamic","forces",1
"1733","dynamics","model",1
"1734","dynamics","triggering",1
"1735","dynamics","urbanization",1
"1736","dynamique","des",1
"1737","dystopian","views",1
"1738","e44","f36",1
"1739","eaf","consumes",1
"1740","earlier","appraisals",1
"1741","earlier","article",1
"1742","earlier","decades",1
"1743","earlier","inspiration",1
"1744","earlier","phase",1
"1745","earlier","studies",1
"1746","earth","seeking",1
"1747","earth","systems",1
"1748","earth’s","resources",1
"1749","earthquakes","japan",1
"1750","eased","public",1
"1751","easily","transcends",1
"1752","east","west",1
"1753","eastern","europe",1
"1754","ec","funded",1
"1755","ecological","backlash",1
"1756","ecological","balance",1
"1757","ecological","capital",1
"1758","ecological","environments",1
"1759","ecological","living",1
"1760","ecological","sustainability",1
"1761","ecology","paradigm",1
"1762","ecology","sustainable",1
"1763","economic","activities",1
"1764","economic","agendas",1
"1765","economic","behavior",1
"1766","economic","behaviour",1
"1767","economic","behaviours",1
"1768","economic","boom",1
"1769","economic","competitiveness",1
"1770","economic","cooperation",1
"1771","economic","developments",1
"1772","economic","dynamics",1
"1773","economic","dynamism",1
"1774","economic","efficiency",1
"1775","economic","enfranchisement",1
"1776","economic","environment",1
"1777","economic","environmental",1
"1778","economic","equations",1
"1779","economic","events",1
"1780","economic","food",1
"1781","economic","force",1
"1782","economic","forces",1
"1783","economic","giant",1
"1784","economic","indexes",1
"1785","economic","liberalization",1
"1786","economic","models",1
"1787","economic","opportunities",1
"1788","economic","opportunity",1
"1789","economic","outlook",1
"1790","economic","potential",1
"1791","economic","power",1
"1792","economic","promise",1
"1793","economic","realities",1
"1794","economic","recovery",1
"1795","economic","reforms",1
"1796","economic","sciences",1
"1797","economic","sectors",1
"1798","economic","shifts",1
"1799","economic","social",1
"1800","economic","status",1
"1801","economic","structure",1
"1802","economic","sustainability",1
"1803","economic","technical",1
"1804","economic","trends",1
"1805","economic","turmoil",1
"1806","economically","complete",1
"1807","economically","dependent",1
"1808","economically","efficient",1
"1809","economically","viable",1
"1810","economics","department",1
"1811","economics","finance",1
"1812","economics","foundation",1
"1813","economics","mesoeconomics",1
"1814","economics","moscow",1
"1815","economics","nru",1
"1816","economists","debate",1
"1817","economy","brings",1
"1818","economy","experienced",1
"1819","economy","foresight",1
"1820","economy","foundations",1
"1821","economy","keynesian",1
"1822","economy","political",1
"1823","economy","science",1
"1824","economy","society",1
"1825","economy","solutions",1
"1826","economy","sustainable",1
"1827","economy","workforce",1
"1828","ect","sector",1
"1829","editions","tallandier",1
"1830","editorial","advice",1
"1831","editorial","assistance",1
"1832","editorial","comments",1
"1833","editorial","earlier",1
"1834","editorial","improvements",1
"1835","editors","tugrul",1
"1836","education","certification",1
"1837","education","market",1
"1838","education","sectors",1
"1839","education","society",1
"1840","education","systems",1
"1841","educational","background",1
"1842","educational","futurology",1
"1843","educational","philosophy",1
"1844","edward","elgar",1
"1845","effect","pushes",1
"1846","effective","cooperation",1
"1847","effective","direct",1
"1848","effective","human",1
"1849","effective","institutions",1
"1850","effective","policies",1
"1851","effectively","applied",1
"1852","effectively","managed",1
"1853","effectively","reengineer",1
"1854","efficacy","process",1
"1855","efficiency","quality",1
"1856","efficiency","social",1
"1857","efficient","adaptation",1
"1858","efficient","management",1
"1859","efficient","pure",1
"1860","efficient","technology",1
"1861","efficient","transport",1
"1862","efficient","utilization",1
"1863","efforts","nationally",1
"1864","efp","consulting",1
"1865","egap","graduate",1
"1866","ege","university",1
"1867","el","desarrollo",1
"1868","el","fondo",1
"1869","elected","political",1
"1870","electric","fraunhofer",1
"1871","electric","motor",1
"1872","electrical","networks",1
"1873","electronic","assets",1
"1874","electronic","forms",1
"1875","electronic","markets",1
"1876","electronic","money",1
"1877","electronic","networks",1
"1878","electronic","options",1
"1879","electronic","payment",1
"1880","electronic","payments",1
"1881","electronic","pets",1
"1882","electronic","tiger",1
"1883","electronic","town",1
"1884","elgar","london",1
"1885","eli","noam",1
"1886","elisabeth","backteman",1
"1887","elissa","wright",1
"1888","eliza","business",1
"1889","embed","technology",1
"1890","embedded","technology",1
"1891","embraces","flexibility",1
"1892","emerging","economic",1
"1893","emerging","environments",1
"1894","emerging","global",1
"1895","emerging","integral",1
"1896","emerging","knowledge",1
"1897","emerging","nanotechnologies",1
"1898","emerging","risks",1
"1899","emerging","social",1
"1900","emission","energy",1
"1901","emissions","rights",1
"1902","emitting","diodes",1
"1903","emmi","26,130",1
"1904","emotional","atmosphere",1
"1905","emotional","intelligence",1
"1906","emotive","subjects",1
"1907","emphasise","collaborative",1
"1908","empirical","analyses",1
"1909","empirical","study",1
"1910","empirically","ceos",1
"1911","empiricist","frame",1
"1912","employed","aims",1
"1913","employing","future",1
"1914","employment","alternative",1
"1915","employment","creation",1
"1916","employment","improved",1
"1917","employment","policy",1
"1918","empower","people",1
"1919","empowering","means",1
"1920","empowerment","movement",1
"1921","en","org",1
"1922","enable","economies",1
"1923","enable","europe",1
"1924","enabling","complex",1
"1925","enabling","progress",1
"1926","enam","khan",1
"1927","encompasses","education",1
"1928","encourage","continuous",1
"1929","encourage","technological",1
"1930","encouragement","needless",1
"1931","enda","donnelly",1
"1932","energy","alternatives",1
"1933","energy","capable",1
"1934","energy","drives",1
"1935","energy","economy",1
"1936","energy","efficient",1
"1937","energy","enables",1
"1938","energy","generated",1
"1939","energy","issues",1
"1940","energy","markets",1
"1941","energy","paradigm",1
"1942","energy","related",1
"1943","energy","requirements",1
"1944","energy","resource",1
"1945","energy","shocks",1
"1946","energy","source",1
"1947","energy","sources",1
"1948","energy","trust",1
"1949","engage","citizens",1
"1950","engineering","drawing",1
"1951","engineering","science",1
"1952","english","text",1
"1953","enhance","competitiveness",1
"1954","enhance","global",1
"1955","enhancing","governance",1
"1956","enjoy","future",1
"1957","enjoy","traditional",1
"1958","enliven","debate",1
"1959","enormous","increase",1
"1960","enormous","innovation",1
"1961","enrico","deiaco",1
"1962","ensure","informed",1
"1963","ensure","sustainable",1
"1964","ensured","maximum",1
"1965","entailing","massive",1
"1966","enterprise","institute",1
"1967","enterprise","skills",1
"1968","entertainment","travel",1
"1969","entire","communities",1
"1970","entitled","future",1
"1971","entitled","futures",1
"1972","entitled","strategy",1
"1973","entrepreneurial","class",1
"1974","entrepreneurial","role",1
"1975","environment","confirming",1
"1976","environment","electronic",1
"1977","environment","emotional",1
"1978","environment","technology",1
"1979","environmental","compatibility",1
"1980","environmental","consciousness",1
"1981","environmental","controls",1
"1982","environmental","degradation",1
"1983","environmental","goals",1
"1984","environmental","governance",1
"1985","environmental","impact",1
"1986","environmental","political",1
"1987","environmental","practices",1
"1988","environmental","risks",1
"1989","environmental","scanning",1
"1990","environmental","science",1
"1991","environmental","security",1
"1992","environmental","technological",1
"1993","environmental","technology",1
"1994","environmentally","damaging",1
"1995","environmentally","friendly",1
"1996","environmentally","sustainable",1
"1997","environmentally","unfriendly",1
"1998","environments","frequently",1
"1999","epidemiology","drug",1
"2000","epistemological","basis",1
"2001","equal","access",1
"2002","equal","credit",1
"2003","equal","degree",1
"2004","equally","significant",1
"2005","equations","electronic",1
"2006","equitable","wellbeing",1
"2007","equity","ecological",1
"2008","era","activities",1
"2009","era","based",1
"2010","era","marked",1
"2011","erab","board",1
"2012","erdem","ege",1
"2013","erik","fossaskaret",1
"2014","erik","oeverland",1
"2015","erika","buggert",1
"2016","errors","omissions",1
"2017","esmaeilzadeh","qadiri",1
"2018","esrc","confronted",1
"2019","esrc","project",1
"2020","esrc’s","scenario",1
"2021","esrc’s","thematic",1
"2022","essay","argues",1
"2023","essay","outlines",1
"2024","essay","takes",1
"2025","essentially","networks",1
"2026","established","field",1
"2027","established","forms",1
"2028","established","hierarchical",1
"2029","established","methods",1
"2030","establishing","confidence",1
"2031","establishing","quality",1
"2032","estate","decisions",1
"2033","estate","opportunities",1
"2034","estudios","superiores",1
"2035","ethical","concerns",1
"2036","ethical","considerations",1
"2037","ethical","councils",1
"2038","ethical","dimensions",1
"2039","ethical","judgements",1
"2040","ethical","level",1
"2041","ethical","principles",1
"2042","ethical","questions",1
"2043","ethical","values",1
"2044","eu","ict",1
"2045","eu","network",1
"2046","eu","policies",1
"2047","eu","policy",1
"2048","eu","versus",1
"2049","europe","covering",1
"2050","europe","lags",1
"2051","europe","manage",1
"2052","europe","understanding",1
"2053","europe","wide",1
"2054","europe’s","considerable",1
"2055","europe’s","energy",1
"2056","europe’s","farmers",1
"2057","europe’s","overstretched",1
"2058","europe’s","policymakers",1
"2059","european","agri",1
"2060","european","agricultural",1
"2061","european","alfa",1
"2062","european","centre",1
"2063","european","commission’s",1
"2064","european","defence",1
"2065","european","food",1
"2066","european","forum",1
"2067","european","foundation",1
"2068","european","framework",1
"2069","european","ict",1
"2070","european","industry",1
"2071","european","integration",1
"2072","european","objectives",1
"2073","european","perspective",1
"2074","european","policies",1
"2075","european","policy",1
"2076","european","regional",1
"2077","european","science",1
"2078","european","social",1
"2079","european","systems",1
"2080","eurostat","project",1
"2081","éva","hideg",1
"2082","evaluate","critically",1
"2083","evaluate","current",1
"2084","evaluating","policies",1
"2085","evaluation","remains",1
"2086","evaluation","techniques",1
"2087","evan","michelson",1
"2088","evenings","devoted",1
"2089","eventual","marketing",1
"2090","evolution","drives",1
"2091","evolutionary","manifestation",1
"2092","evolutionary","theory",1
"2093","evolving","visions",1
"2094","evolving","world",1
"2095","exacerbate","regional",1
"2096","exaggerated","expectations",1
"2097","examines","future",1
"2098","examining","views",1
"2099","excel","concurrency",1
"2100","exceptional","efforts",1
"2101","exceptional","growth",1
"2102","excluded","deservedly",1
"2103","exclusively","promote",1
"2104","executive","advisor",1
"2105","executive","position",1
"2106","exercise","concerned",1
"2107","exercise","designed",1
"2108","exercises","reveals",1
"2109","exercises","studies",1
"2110","exeter","medical",1
"2111","exist","continuously",1
"2112","existing","concepts",1
"2113","existing","dynamics",1
"2114","existing","paradigms",1
"2115","existing","resources",1
"2116","existing","socio",1
"2117","existing","transport",1
"2118","expanding","global",1
"2119","expanding","relative",1
"2120","expectations","win",1
"2121","expected","total",1
"2122","expediency","efficacy",1
"2123","experience","experiment",1
"2124","experience","included",1
"2125","experience","raskin",1
"2126","experiment","design",1
"2127","experiments","supported",1
"2128","expert","hybrids",1
"2129","expert","political",1
"2130","experts","ghazinouri",1
"2131","explanatory","glossary",1
"2132","explicit","knowledge",1
"2133","explicitly","mentioned",1
"2134","exploratory","evaluation",1
"2135","explore","future",1
"2136","explored","finally",1
"2137","explores","hard",1
"2138","exploring","public",1
"2139","expo","illustrated",1
"2140","export","markets",1
"2141","exporting","green",1
"2142","expressly","prohibited",1
"2143","extend","special",1
"2144","extensive","foresight",1
"2145","extent","unanticipated",1
"2146","external","drivers",1
"2147","external","force",1
"2148","external","market",1
"2149","external","relations",1
"2150","external","world",1
"2151","extraordinary","dedication",1
"2152","extraordinary","experience",1
"2153","extremely","fragmented",1
"2154","f22","j6",1
"2155","f36","g18",1
"2156","fabio","casati",1
"2157","facilitating","dozens",1
"2158","facing","humanity",1
"2159","facing","humankind",1
"2160","facto","break",1
"2161","factor","interdependencies",1
"2162","factors","driving",1
"2163","factors","method",1
"2164","factors","religion",1
"2165","falls","dramatically",1
"2166","family","mother’s",1
"2167","family","structures",1
"2168","faria","sultana",1
"2169","farmers","breeders",1
"2170","farming","seeks",1
"2171","farooq","sobhan",1
"2172","fass","lancaster",1
"2173","fast","timeframes",1
"2174","father’s","educational",1
"2175","fatronic","inria",1
"2176","fazidah","bte",1
"2177","fct","sfrh",1
"2178","feasible","raskin",1
"2179","featured","strongly",1
"2180","february","2009accepted",1
"2181","february","2009financial",1
"2182","federal","futures",1
"2183","federal","office",1
"2184","federation","bulletin",1
"2185","federation","project",1
"2186","feed","environmentally",1
"2187","feedback","promptly",1
"2188","feign","indifference",1
"2189","fellow","researchers",1
"2190","festos","partners",1
"2191","fff","project",1
"2192","ffrc","finland",1
"2193","fiction","authors",1
"2194","fiction","political",1
"2195","field","futurists",1
"2196","field","reports",1
"2197","field","yoriaki",1
"2198","figures","met",1
"2199","final","english",1
"2200","final","evolutionary",1
"2201","finance","markets",1
"2202","finance","sector",1
"2203","finance","sphere",1
"2204","financed","concerted",1
"2205","financial","accountability",1
"2206","financial","activities",1
"2207","financial","community",1
"2208","financial","cooperation",1
"2209","financial","crisis",1
"2210","financial","services",1
"2211","financial","tensions",1
"2212","finding","alternatives",1
"2213","finding","solutions",1
"2214","findings","revealed",1
"2215","finland","future",1
"2216","finland","grant",1
"2217","finland","reveals",1
"2218","finland","supported",1
"2219","finnish","cultural",1
"2220","finnish","households",1
"2221","finnish","regional",1
"2222","fintech","market",1
"2223","fiona","lickorish",1
"2224","firmly","establish",1
"2225","firms","strategic",1
"2226","fiscal","economic",1
"2227","fitting","industrial",1
"2228","fitting","routines",1
"2229","fixed","assets",1
"2230","flagrant","defeat",1
"2231","flawed","conclusions",1
"2232","fledged","discipline",1
"2233","floods","france",1
"2234","florian","schick",1
"2235","fms","commissioned",1
"2236","foa","decided",1
"2237","focus","civic",1
"2238","focus","community",1
"2239","fond","project",1
"2240","fondo","mexicano",1
"2241","food","chain",1
"2242","food","energy",1
"2243","food","gathering",1
"2244","food","health",1
"2245","food","industry",1
"2246","food","processors",1
"2247","food","sector",1
"2248","food","situation",1
"2249","food","technology",1
"2250","force","department",1
"2251","force","regenerating",1
"2252","forces","contribute",1
"2253","forces","guiding",1
"2254","forces","hinges",1
"2255","forecast","accuracy",1
"2256","forecast","improvement",1
"2257","forecastability","model",1
"2258","forecasting","contest",1
"2259","forecasting","methods",1
"2260","forecasts","estimates",1
"2261","forecasts","reported",1
"2262","foreign","policy",1
"2263","foreseen","cast",1
"2264","foresight","based",1
"2265","foresight","board",1
"2266","foresight","carried",1
"2267","foresight","colin",1
"2268","foresight","concluding",1
"2269","foresight","function",1
"2270","foresight","futures",1
"2271","foresight","initiatives",1
"2272","foresight","means",1
"2273","foresight","organizing",1
"2274","foresight","policy",1
"2275","foresight","professional",1
"2276","foresight","programme",1
"2277","foresight","programmes",1
"2278","foresight","readers",1
"2279","foresight's","editorial",1
"2280","foresight’s","editorial",1
"2281","forest","industry",1
"2282","forfás","ireland",1
